Day;Titik;ADCpHTanah;pHTanah;ADCKelembabanTanah ;KelembabanTanah;SuhuUdara;KelembabanUdara;Label;pHTanah
1;1;219;4.74;527;48;37;67;Tidak;4,74
1;1;219;4.74;528;48;37;67;Tidak;4,74
1;1;221;4.71;531;48;38;65;Tidak;4,71
1;1;221;4.71;532;48;38;65;Tidak;4,71
1;1;223;4.69;533;48;38;65;Tidak;4,69
1;1;223;4.69;534;48;38;65;Tidak;4,69
1;1;225;4.66;536;48;38;64;Tidak;4,66
1;1;224;4.67;537;48;38;64;Tidak;4,67
1;1;225;4.66;539;47;38;64;Tidak;4,66
1;1;225;4.66;540;47;38;64;Tidak;4,66
1;1;225;4.66;541;47;38;63;Tidak;4,66
1;1;226;4.64;542;47;38;63;Tidak;4,64
1;1;227;4.63;544;47;38;62;Tidak;4,63
1;1;227;4.63;544;47;38;62;Tidak;4,63
1;1;228;4.62;546;47;38;61;Tidak;4,62
1;1;228;4.62;546;47;38;61;Tidak;4,62
1;1;229;4.6;548;46;38;61;Tidak;4,60
1;1;229;4.6;548;46;38;61;Tidak;4,60
1;1;230;4.59;550;46;38;62;Tidak;4,59
1;1;230;4.59;550;46;38;62;Tidak;4,59
1;1;231;4.57;551;46;39;62;Tidak;4,57
1;1;230;4.59;552;46;39;62;Tidak;4,59
1;1;232;4.56;553;46;39;62;Tidak;4,56
1;1;231;4.57;554;46;39;62;Tidak;4,57
1;1;232;4.56;555;46;39;61;Tidak;4,56
1;1;232;4.56;555;46;39;61;Tidak;4,56
1;1;233;4.55;556;46;39;61;Tidak;4,55
1;1;233;4.55;556;46;39;61;Tidak;4,55
1;1;235;4.52;557;46;39;60;Tidak;4,52
1;1;235;4.52;558;45;39;60;Tidak;4,52
1;1;235;4.52;559;45;39;60;Tidak;4,52
1;1;235;4.52;559;45;39;60;Tidak;4,52
1;1;237;4.49;561;45;39;60;Tidak;4,49
1;1;236;4.5;561;45;39;60;Tidak;4,50
1;1;237;4.49;562;45;39;60;Tidak;4,49
1;1;233;4.55;563;45;39;60;Tidak;4,55
1;1;237;4.49;563;45;39;60;Tidak;4,49
1;1;238;4.48;564;45;39;60;Tidak;4,48
1;1;237;4.49;564;45;39;59;Tidak;4,49
1;1;237;4.49;566;45;39;59;Tidak;4,49
1;1;238;4.48;566;45;39;59;Tidak;4,48
1;1;238;4.48;567;45;39;59;Tidak;4,48
1;1;239;4.46;568;44;39;59;Tidak;4,46
1;1;239;4.46;568;44;39;59;Tidak;4,46
1;1;240;4.45;569;44;39;58;Tidak;4,45
1;1;239;4.46;569;44;39;58;Tidak;4,46
1;1;241;4.44;570;44;39;58;Tidak;4,44
1;1;239;4.46;571;44;39;58;Tidak;4,46
1;1;240;4.45;572;44;39;58;Tidak;4,45
1;1;239;4.46;572;44;39;58;Tidak;4,46
1;1;240;4.45;573;44;39;57;Tidak;4,45
1;1;239;4.46;574;44;39;57;Tidak;4,46
1;1;242;4.42;575;44;39;56;Tidak;4,42
1;1;242;4.42;575;44;39;56;Tidak;4,42
1;1;243;4.41;577;44;39;56;Tidak;4,41
1;1;242;4.42;577;44;39;56;Tidak;4,42
1;1;242;4.42;577;44;39;55;Tidak;4,42
1;1;243;4.41;578;43;39;55;Tidak;4,41
